axis,value,program,ipc,cycles,commits,hit_cap
--dcache-ufp,1,branch,0.418197,19608,8200,0
--dcache-ufp,1,custom_riscv,0.616156,20946,12906,0
--dcache-ufp,1,riscv_mem,0.648363,13804,8950,0
--dcache-ufp,1,ilp_loop,0.831503,49271,40969,0
--dcache-ufp,1,matmul8,0.70369,11056,7780,0
--dcache-ufp,1,mem_stream,0.744831,132336,98568,0
--dcache-ufp,1,mix_bench,0.545567,86642,47269,0
--dcache-ufp,2,branch,0.418197,19608,8200,0
--dcache-ufp,2,custom_riscv,0.616362,20939,12906,0
--dcache-ufp,2,riscv_mem,0.672477,13309,8950,0
--dcache-ufp,2,ilp_loop,0.831503,49271,40969,0
--dcache-ufp,2,matmul8,0.703818,11054,7780,0
--dcache-ufp,2,mem_stream,0.744876,132328,98568,0
--dcache-ufp,2,mix_bench,0.545567,86642,47269,0
combined,-,branch,0.418966,19572,8200,0
combined,-,custom_riscv,0.74787,17257,12906,0
combined,-,riscv_mem,0.993672,9007,8950,0
combined,-,ilp_loop,1.24734,32845,40969,0
combined,-,matmul8,1.08857,7147,7780,0
combined,-,mem_stream,1.00131,98439,98568,0
combined,-,mix_bench,0.639539,73911,47269,0
